[38002401] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38002408] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38005001] : HTTP404 | Données récupérées : Non | pas=quotidienne cmd=2025018728401 fichier non prêt/erreur
[38005402] : OK | Données récupérées : Oui |
[38006400] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38006401] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38020400] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38020401] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38021001] : OK | Données récupérées : Oui |
[38040001] : HTTP404 | Données récupérées : Non | pas=quotidienne cmd=2025018728406 fichier non prêt/erreur
[38163001] : HTTP404 | Données récupérées : Non | pas=quotidienne cmd=2025018728408 fichier non prêt/erreur
[38186001] : OK | Données récupérées : Oui |
[38186400] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38186401] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38187400] : OK | Données récupérées : Oui |
[38191002] : OK | Données récupérées : Oui |
[38191400] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38191401] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
[38191405] : quotidienne:inactif | Données récupérées : Non | inactif le 2025-11-02
